scenario,method,traj_id,traj_pos_rmse_m,traj_vel_rmse_mps
test,EKF,0,12906.789033666937,16.232938190234528
test,EKF,1,174.7603350858252,0.2680829087541089
test,EKF,2,151.24940004784497,0.2965940088986581
test,EKF,3,1952.7077452871335,2.4654489482186106
test,EKF,4,96.05738301667593,0.21932309250173093
test,EKF,5,1199.1625699686804,2.830837581142423
test,EKF,6,3975.8682827530033,5.793433784287206
test,EKF,7,8801.210882133937,7.254839373038674
test,EKF,8,287.9712627815794,0.6814675253203114
test,EKF,9,259.1440288519235,0.6040295321694328
test,EKF,10,6740.861931838213,6.767373622153873
test,EKF,11,7885.806873399941,10.584970640639083
test,EKF,12,1033.430380072193,1.1247758098767227
test,EKF,13,603.5596979081937,0.9271980106795847
test,EKF,14,735.7210934205767,1.4847408668064195
test,EKF,15,1058.858805750372,1.2147293153532972
test,EKF,16,972.1054913115156,0.9545878268826246
test,EKF,17,2478.2879776693744,2.081557060037402
test,EKF,18,933.1658590637369,2.352778234778917
test,EKF,19,1031.392430864305,2.937554274949035
test,EKF,20,1427.0497358729478,1.8141071732538168
test,EKF,21,4283.501407861871,4.325471532038792
test,EKF,22,1001.8173014271779,3.0522498202473147
test,EKF,23,1519.637402828414,1.9150134317517342
test,EKF,24,5651.716371062948,5.994905570856935
test,EKF,25,1029.8398600816304,0.9671560008271254
test,EKF,26,462.99669052045545,1.1832223074606567
test,EKF,27,6371.486836210357,6.592159956016056
test,EKF,28,5238.7941509636,9.590428010945164
test,EKF,29,1055.9776206080246,2.802969748025071
test,EKF,30,979.5966977709336,3.3007783529133783
test,EKF,31,249.65951251942096,0.313010171949382
test,EKF,32,4129.409580407388,6.294684382387439
test,EKF,33,14512.60330623437,17.042444206990247
test,EKF,34,1386.512467791126,2.0323940008549997
test,EKF,35,3519.6618255712197,3.7585590166724736
test,EKF,36,6969.38971296259,6.392963164505762
test,EKF,37,12996.20065058864,16.806171251961146
test,EKF,38,1716.1646168776576,2.916044589291125
test,EKF,39,804.191833163963,1.6448683173505694
test,EKF,40,464.0283465472084,0.8835961633264595
test,EKF,41,11435.544006282726,8.903865427544977
test,EKF,42,1962.2792435796152,3.297977125162256
test,EKF,43,16392.30655266196,19.399388463561987
test,EKF,44,2157.7140604941997,3.4979987688762098
test,EKF,45,430.3110224895026,0.8042821762862006
test,EKF,46,906.652461205133,1.138250112199496
test,EKF,47,3900.197335713973,5.88591305269662
test,EKF,48,632.733380438157,0.4724906335613145
test,EKF,49,1927.1668220772497,3.6366294830355566
test,EKF,50,4530.615440494899,7.270270552401679
test,EKF,51,2410.9041135470416,2.2617205541563585
test,EKF,52,1407.1062686785772,1.9536978886780352
test,EKF,53,16453.01639514866,15.286187736713691
test,EKF,54,2648.728680321809,4.886438365276224
test,EKF,55,3853.057606755282,5.493864297996634
test,EKF,56,486.3966459479969,0.8890782011732462
test,EKF,57,498.3922221478248,0.959297528204571
test,EKF,58,6758.112909396208,8.973182797641222
test,EKF,59,7692.244177901573,5.333257789662934
test,EKF,60,1400.0931322961333,2.23534536028575
test,EKF,61,22098.778799937907,25.297730723564218
test,EKF,62,10488.838924147065,10.96953197483897
test,EKF,63,2508.1262451916537,2.074510338275428
test,UKF,0,12910.99863290181,16.232673656294086
test,UKF,1,170.16907501218716,0.2609716203424836
test,UKF,2,144.2628536883583,0.2708721365202284
