case,ekf_rmse_m,channel_rmse_m,known_signal,last100_mean_estimate,relative_recovery_error
drag_scale_beta,0.7177757598140551,0.7073708110421133,4.0,3.9814024673002084,0.0046493831749478964
empirical_acceleration,4.1975137767054935,3.4532406876839437,"[2e-05, -1e-05, 1.5e-05]","[2.024969636009738e-05, -1.0523577064205298e-05, 1.5000664092845463e-05]",0.02154327338579743
