scenario,trajectories,eval_start_step,mean_visible_measurements_per_traj,fit_success_rate,best_recursive_observed_method,wls_gain_vs_best_recursive_observed_percent,wls_gain_vs_best_recursive_all_step_percent,batchwls_all_step_pos_rmse_m,batchwls_all_step_vel_rmse_mps,batchwls_median_traj_pos_rmse_m,batchwls_max_traj_pos_rmse_m,batchwls_failure_rate_100km,batchwls_observed_step_pos_rmse_m,batchwls_zero_visible_pos_rmse_m,batchwls_observed_steps,batchwls_zero_visible_steps,ekf_all_step_pos_rmse_m,ekf_all_step_vel_rmse_mps,ekf_median_traj_pos_rmse_m,ekf_max_traj_pos_rmse_m,ekf_failure_rate_100km,ekf_observed_step_pos_rmse_m,ekf_zero_visible_pos_rmse_m,ekf_observed_steps,ekf_zero_visible_steps,ukf_all_step_pos_rmse_m,ukf_all_step_vel_rmse_mps,ukf_median_traj_pos_rmse_m,ukf_max_traj_pos_rmse_m,ukf_failure_rate_100km,ukf_observed_step_pos_rmse_m,ukf_zero_visible_pos_rmse_m,ukf_observed_steps,ukf_zero_visible_steps,aukf_all_step_pos_rmse_m,aukf_all_step_vel_rmse_mps,aukf_median_traj_pos_rmse_m,aukf_max_traj_pos_rmse_m,aukf_failure_rate_100km,aukf_observed_step_pos_rmse_m,aukf_zero_visible_pos_rmse_m,aukf_observed_steps,aukf_zero_visible_steps
test,64,11,25.71875,0.8125,EKF,60.12935264933032,20.905043844347684,4880.311649856641,5.258384674734141,384.57078101922815,38276.20766671844,0.0,152.60978323922217,9500.543825282308,1454,5522,6170.193255120583,7.0905062773375445,3155.2175805414636,38276.20766671844,0.0,382.76224084598135,12010.369382934523,1454,5522,6191.372469626562,7.112667265885995,3390.246601122347,38268.03927393702,0.0,387.4404824696617,12051.566670561526,1454,5522,6167.440746199176,7.084384811909419,3110.109079328242,38268.03927393702,0.0,392.69448482147465,12004.925685796776,1454,5522
stress_test,64,11,24.390625,0.75,AUKF,59.289580329962675,17.70384398740364,5596.58280926162,6.41733377361977,1198.4889490660553,32958.85393604209,0.0,372.5868596200424,10871.996982291532,1432,5544,6811.254923337452,8.112387796923967,4549.698106403989,32958.85393604209,0.0,1006.3200574770481,13223.755614987509,1432,5544,7173.227521830599,8.579822022914119,6477.642594301029,32946.719361170326,0.0,1882.719629563295,13904.035964237835,1432,5544,6800.539758387986,8.099967266802363,4340.201345291827,32946.719361170326,0.0,915.2125245573543,13204.633799589461,1432,5544
public_catalog_replay_test,48,11,36.6875,0.875,EKF,13.859859172586663,41.38240365600395,3383.134819410075,3.7610979832197913,230.78280032134367,30667.738924887002,0.0,354.7217464338643,6817.092723003479,1370,3862,5771.5345398269565,7.0324703605281,4657.0134610502755,30667.738924887002,0.0,411.7961069329681,11632.77025989832,1370,3862,5772.298330710321,7.036471001929388,4683.9389616361805,30662.870677506493,0.0,439.53514745207787,11633.950370364455,1370,3862,5771.759366235654,7.032029952460993,4669.1971110160775,30662.870677506493,0.0,419.8541194419907,11633.121432430777,1370,3862
