scenario,label,trajectory_index,EnKF_observed_pos_rmse_m,EKF_observed_pos_rmse_m,UKF_observed_pos_rmse_m,AUKF_observed_pos_rmse_m
test,nominal,25,359.8242617806917,427.2470549022741,419.96832848846117,382.4353010592474
test,nominal,26,509.9665914049782,504.22917905731947,495.75053050386447,518.1167642256235
test,nominal,27,,,,
test,nominal,28,391.291885742764,380.51973151069444,339.1624659862193,342.3114909473934
test,nominal,29,272.91478559138216,275.9323698440587,283.53811678943197,257.0051477425452
test,nominal,30,513.2984369112964,524.571662923448,517.6410869268245,546.2593115175522
test,nominal,31,193.25915638118246,185.63674944118858,186.12329922610405,167.7620289586597
test,nominal,32,324.39842956633305,258.48550712258907,307.88719199260106,242.13159627158174
test,nominal,33,,,,
test,nominal,34,341.1089949979992,289.07421218458643,295.98384529347464,293.7240449857863
test,nominal,35,733.0749778735943,877.0903846522665,753.6147162803315,866.8131906054941
test,nominal,36,,,,
test,nominal,37,339.78844823848203,441.7048831851505,337.3457940904134,338.64918492454075
test,nominal,38,438.5875816901959,449.5722286160454,448.3351222792551,495.5825389530897
test,nominal,39,281.43908925947676,245.17618438696255,240.76661159262972,241.50836715719277
test,nominal,40,140.37276826820073,157.52940365193945,144.73101516885797,135.5530190699747
test,nominal,41,,,,
test,nominal,42,396.3370203188153,308.41592687804695,301.55973514351575,323.79810295844015
test,nominal,43,,,,
test,nominal,44,543.0750308983286,460.37725196565333,464.0429721080093,468.566798682451
test,nominal,45,287.6119393155181,279.8233083361845,277.0128246347419,284.67731694552594
test,nominal,46,470.25284619125387,443.07732238386654,433.27373779610764,444.14555770561594
test,nominal,47,300.7505231741898,318.2552874213928,317.2467323945843,447.6133043440741
test,nominal,48,391.9392094697996,346.98836236567314,340.3174796985874,418.8925066072655
test,nominal,49,362.3004399648848,365.0502106141193,342.91516033263616,386.4100438781085
test,nominal,50,491.49063081776734,257.64580713844606,551.8755334934272,265.9600997243447
test,nominal,51,474.2205278127351,434.72952954968014,390.13635690641775,368.0436884548909
test,nominal,52,465.5011149540217,455.9720832320237,430.8694538230129,403.4616102805969
test,nominal,53,663.7707313352158,762.5800409883022,631.402832483657,786.4040552608967
