campaign,training_step_mask,validation_selection_metric,seed,split,scenario,scenario_label,requested_inference_mode,selected_inference_mode,inference_mode_selection_source,best_input_candidate_method,best_input_candidate_observed_step_pos_rmse_m,fixed_soft_observed_step_pos_rmse_m,fixed_soft_gain_vs_best_input_observed_step_percent,fixed_soft_result,best_input_candidate_all_step_method,best_input_candidate_all_step_pos_rmse_m,fixed_soft_all_step_pos_rmse_m,fixed_soft_gain_vs_best_input_all_step_percent,fixed_soft_all_step_result,source_dir,source_csv
observed_mask_fixed_soft_full_retraining,observed,observed_step_pos_rmse_m,23,23,process_noise_shift_test,process,soft,soft,cli_fixed,RFIS,341.3435666492853,298.07407028038637,12.676230225647217,win,BatchWLS,14366.052767638002,14763.414895898113,-2.7659798741324204,loss,results/adaptive_candidate_fusion_observed_fixed_soft_seed23_split23_20260623,results/adaptive_candidate_fusion_observed_fixed_soft_seed23_split23_20260623/adaptive_candidate_fusion_summary.csv
observed_mask_fixed_soft_full_retraining,observed,observed_step_pos_rmse_m,29,29,maneuver_shift_test,maneuver,soft,soft,cli_fixed,EKF,414.1337196472723,414.3415921878932,-0.05019454605095506,loss,VA_RFIS,7770.059263749058,6278.731355465893,19.193262981157734,win,results/adaptive_candidate_fusion_observed_fixed_soft_seed29_split29_20260623,results/adaptive_candidate_fusion_observed_fixed_soft_seed29_split29_20260623/adaptive_candidate_fusion_summary.csv
observed_mask_fixed_soft_full_retraining,observed,observed_step_pos_rmse_m,29,29,process_noise_shift_test,process,soft,soft,cli_fixed,RFIS,445.16594453886563,393.1483741009273,11.684984234771555,win,VA_RFIS,13740.812234963678,15089.245847416189,-9.813347198074679,loss,results/adaptive_candidate_fusion_observed_fixed_soft_seed29_split29_20260623,results/adaptive_candidate_fusion_observed_fixed_soft_seed29_split29_20260623/adaptive_candidate_fusion_summary.csv
observed_mask_fixed_soft_full_retraining,observed,observed_step_pos_rmse_m,31,31,maneuver_shift_test,maneuver,soft,soft,cli_fixed,UKF,722.436972706734,1912.4423757711058,-164.7209996196364,loss,VA_RFIS,11240.923544398484,11034.623001211048,1.83526328928941,win,results/adaptive_candidate_fusion_observed_fixed_soft_seed31_split31_20260623,results/adaptive_candidate_fusion_observed_fixed_soft_seed31_split31_20260623/adaptive_candidate_fusion_summary.csv
observed_mask_fixed_soft_full_retraining,observed,observed_step_pos_rmse_m,31,31,process_noise_shift_test,process,soft,soft,cli_fixed,EKF,390.7713495455463,338.7879224539536,13.302773387058087,win,EKF,13630.413509064732,13250.67344170616,2.7859761342238905,win,results/adaptive_candidate_fusion_observed_fixed_soft_seed31_split31_20260623,results/adaptive_candidate_fusion_observed_fixed_soft_seed31_split31_20260623/adaptive_candidate_fusion_summary.csv
observed_mask_fixed_soft_full_retraining,observed,observed_step_pos_rmse_m,37,37,maneuver_shift_test,maneuver,soft,soft,cli_fixed,EKF,646.9058677592885,633.3161060922068,2.100732478150653,win,VA_RFIS,4938.879397619774,4933.307649816372,0.11281400809437322,win,results/adaptive_candidate_fusion_observed_fixed_soft_seed37_split37_20260623,results/adaptive_candidate_fusion_observed_fixed_soft_seed37_split37_20260623/adaptive_candidate_fusion_summary.csv
observed_mask_fixed_soft_full_retraining,observed,observed_step_pos_rmse_m,37,37,process_noise_shift_test,process,soft,soft,cli_fixed,RFIS,309.65321742126036,288.4964757573552,6.832398461767952,win,VA_RFIS,1869.6765895369047,4108.043277490105,-119.71945846033272,loss,results/adaptive_candidate_fusion_observed_fixed_soft_seed37_split37_20260623,results/adaptive_candidate_fusion_observed_fixed_soft_seed37_split37_20260623/adaptive_candidate_fusion_summary.csv
observed_mask_fixed_soft_full_retraining,observed,observed_step_pos_rmse_m,41,41,maneuver_shift_test,maneuver,soft,soft,cli_fixed,EKF,667.9271135558582,589.3768017286401,11.760311901254932,win,UKF,18462.158799844034,17978.446708951942,2.6200191220117652,win,results/adaptive_candidate_fusion_observed_fixed_soft_seed41_split41_20260623,results/adaptive_candidate_fusion_observed_fixed_soft_seed41_split41_20260623/adaptive_candidate_fusion_summary.csv
observed_mask_fixed_soft_full_retraining,observed,observed_step_pos_rmse_m,41,41,process_noise_shift_test,process,soft,soft,cli_fixed,UKF,402.9037162819107,367.6220721711358,8.756842561881067,win,VA_RFIS,2777.8246325827636,3984.3762173858536,-43.43512440096924,loss,results/adaptive_candidate_fusion_observed_fixed_soft_seed41_split41_20260623,results/adaptive_candidate_fusion_observed_fixed_soft_seed41_split41_20260623/adaptive_candidate_fusion_summary.csv
observed_mask_fixed_soft_full_retraining,observed,observed_step_pos_rmse_m,43,43,maneuver_shift_test,maneuver,soft,soft,cli_fixed,EKF,476.8500442161331,471.13357874624194,1.1987973030993682,win,VA_RFIS,20864.732613817883,20948.28780271704,-0.40046134520709065,loss,results/adaptive_candidate_fusion_observed_fixed_soft_seed43_split43_20260623,results/adaptive_candidate_fusion_observed_fixed_soft_seed43_split43_20260623/adaptive_candidate_fusion_summary.csv
observed_mask_fixed_soft_full_retraining,observed,observed_step_pos_rmse_m,43,43,process_noise_shift_test,process,soft,soft,cli_fixed,RFIS,321.8012669576178,328.80319307598495,-2.175854117842643,loss,VA_RFIS,12367.021293652975,12261.219319171872,0.8555170397855022,win,results/adaptive_candidate_fusion_observed_fixed_soft_seed43_split43_20260623,results/adaptive_candidate_fusion_observed_fixed_soft_seed43_split43_20260623/adaptive_candidate_fusion_summary.csv
observed_mask_fixed_soft_full_retraining,observed,observed_step_pos_rmse_m,47,47,maneuver_shift_test,maneuver,soft,soft,cli_fixed,EKF,438.73411724283,488.919582287855,-11.438696712352648,loss,UKF,21268.92029078009,20620.657899025493,3.0479327718182936,win,results/adaptive_candidate_fusion_observed_fixed_soft_seed47_split47_20260623,results/adaptive_candidate_fusion_observed_fixed_soft_seed47_split47_20260623/adaptive_candidate_fusion_summary.csv
observed_mask_fixed_soft_full_retraining,observed,observed_step_pos_rmse_m,47,47,process_noise_shift_test,process,soft,soft,cli_fixed,RFIS,375.04409497616916,422.3260799593172,-12.607046909018102,loss,VA_RFIS,3566.506002344024,3858.532011221033,-8.188013946565063,loss,results/adaptive_candidate_fusion_observed_fixed_soft_seed47_split47_20260623,results/adaptive_candidate_fusion_observed_fixed_soft_seed47_split47_20260623/adaptive_candidate_fusion_summary.csv
observed_mask_fixed_soft_full_retraining,observed,observed_step_pos_rmse_m,53,53,maneuver_shift_test,maneuver,soft,soft,cli_fixed,EKF,407.5192620267138,493.2739149928588,-21.043091936234312,loss,BatchWLS,23709.415603490233,23654.976007641024,0.22961171527650642,win,results/adaptive_candidate_fusion_observed_fixed_soft_seed53_split53_20260623,results/adaptive_candidate_fusion_observed_fixed_soft_seed53_split53_20260623/adaptive_candidate_fusion_summary.csv
observed_mask_fixed_soft_full_retraining,observed,observed_step_pos_rmse_m,53,53,process_noise_shift_test,process,soft,soft,cli_fixed,EKF,308.87798534243973,273.4323880869743,11.475598436116584,win,VA_RFIS,3049.9352172532685,3927.0373466640162,-28.75805769411241,loss,results/adaptive_candidate_fusion_observed_fixed_soft_seed53_split53_20260623,results/adaptive_candidate_fusion_observed_fixed_soft_seed53_split53_20260623/adaptive_candidate_fusion_summary.csv
observed_mask_fixed_soft_full_retraining,observed,observed_step_pos_rmse_m,59,59,maneuver_shift_test,maneuver,soft,soft,cli_fixed,EKF,529.2630673685953,545.7064404028777,-3.106843089587933,loss,VA_RFIS,9492.749579547926,10772.735644561728,-13.483828413334786,loss,results/adaptive_candidate_fusion_observed_fixed_soft_seed59_split59_20260623,results/adaptive_candidate_fusion_observed_fixed_soft_seed59_split59_20260623/adaptive_candidate_fusion_summary.csv
observed_mask_fixed_soft_full_retraining,observed,observed_step_pos_rmse_m,59,59,process_noise_shift_test,process,soft,soft,cli_fixed,RFIS,412.7719078197348,376.2236282935531,8.854352448360665,win,RFIS,3861.0389861430917,3036.1365448891534,21.364778864301453,win,results/adaptive_candidate_fusion_observed_fixed_soft_seed59_split59_20260623,results/adaptive_candidate_fusion_observed_fixed_soft_seed59_split59_20260623/adaptive_candidate_fusion_summary.csv
observed_mask_fixed_soft_full_retraining,observed,observed_step_pos_rmse_m,61,61,maneuver_shift_test,maneuver,soft,soft,cli_fixed,EKF,554.2617062538278,634.44391105609,-14.46648828478549,loss,EKF,6033.295902006082,5060.728727841317,16.119997924208963,win,results/adaptive_candidate_fusion_observed_fixed_soft_seed61_split61_20260623,results/adaptive_candidate_fusion_observed_fixed_soft_seed61_split61_20260623/adaptive_candidate_fusion_summary.csv
observed_mask_fixed_soft_full_retraining,observed,observed_step_pos_rmse_m,61,61,process_noise_shift_test,process,soft,soft,cli_fixed,RFIS,384.6287256727343,353.5988537931991,8.067486853786704,win,VA_RFIS,4736.939774600144,8709.274466103649,-83.85866995403838,loss,results/adaptive_candidate_fusion_observed_fixed_soft_seed61_split61_20260623,results/adaptive_candidate_fusion_observed_fixed_soft_seed61_split61_20260623/adaptive_candidate_fusion_summary.csv
