seed,split,scenario,run_name,policy_id,policy_kind,policy_components,policy_alpha,policy_validation_rmse_m,policy_validation_steps,portfolio_observed_step_pos_rmse_m,best_input_candidate_method,best_input_candidate_observed_step_pos_rmse_m,gain_vs_best_input_observed_step_percent,result_vs_best_input,portfolio_all_step_pos_rmse_m,run_dir
37,37,process_noise_shift_test,adaptive_candidate_fusion_centered_fixed_soft_seed37_split37_20260624,blend:learned:RFIS:0.65,blend,learned|RFIS,0.65,372.1795286694277,2988,287.2351081768038,RFIS,309.65321742126036,7.239746911448484,win,4886.861076350019,results/adaptive_candidate_fusion_centered_fixed_soft_seed37_split37_20260624
37,37,maneuver_shift_test,adaptive_candidate_fusion_centered_fixed_soft_seed37_split37_20260624,blend:learned:EKF:0.55,blend,learned|EKF,0.55,554.1949485908373,2293,712.337065652581,EKF,646.9058677592885,-10.11448514448152,loss,5261.592040642749,results/adaptive_candidate_fusion_centered_fixed_soft_seed37_split37_20260624
41,41,process_noise_shift_test,adaptive_candidate_fusion_centered_fixed_soft_seed41_split41_20260624,blend:learned:RFIS:0.65,blend,learned|RFIS,0.65,372.1795286694277,2988,375.1784788485873,UKF,402.9037162819107,6.881355597604894,win,4269.904500784309,results/adaptive_candidate_fusion_centered_fixed_soft_seed41_split41_20260624
41,41,maneuver_shift_test,adaptive_candidate_fusion_centered_fixed_soft_seed41_split41_20260624,blend:learned:EKF:0.55,blend,learned|EKF,0.55,554.1949485908373,2293,645.544150122309,EKF,667.9271135558582,3.351108673278516,win,18169.26025613913,results/adaptive_candidate_fusion_centered_fixed_soft_seed41_split41_20260624
43,43,process_noise_shift_test,adaptive_candidate_fusion_centered_fixed_soft_seed43_split43_20260623,blend:learned:RFIS:0.65,blend,learned|RFIS,0.65,372.1795286694277,2988,317.10202729289375,RFIS,321.8012669576178,1.4602924684392182,win,12342.001824660167,results/adaptive_candidate_fusion_centered_fixed_soft_seed43_split43_20260623
43,43,maneuver_shift_test,adaptive_candidate_fusion_centered_fixed_soft_seed43_split43_20260623,blend:learned:EKF:0.55,blend,learned|EKF,0.55,554.1949485908373,2293,470.0633470526669,EKF,476.8500442161331,1.4232350915731646,win,21031.395925577483,results/adaptive_candidate_fusion_centered_fixed_soft_seed43_split43_20260623
47,47,process_noise_shift_test,adaptive_candidate_fusion_centered_fixed_soft_seed47_split47_20260623,blend:learned:RFIS:0.65,blend,learned|RFIS,0.65,372.1795286694277,2988,388.8963781562678,RFIS,375.04409497616916,-3.6935078743151113,loss,4371.430960383769,results/adaptive_candidate_fusion_centered_fixed_soft_seed47_split47_20260623
47,47,maneuver_shift_test,adaptive_candidate_fusion_centered_fixed_soft_seed47_split47_20260623,blend:learned:EKF:0.55,blend,learned|EKF,0.55,554.1949485908373,2293,451.392950374591,EKF,438.73411724283,-2.8853085808128798,loss,20837.76939297724,results/adaptive_candidate_fusion_centered_fixed_soft_seed47_split47_20260623
53,53,process_noise_shift_test,adaptive_candidate_fusion_centered_fixed_soft_seed53_split53_20260623,blend:learned:RFIS:0.65,blend,learned|RFIS,0.65,372.1795286694277,2988,278.17206871304705,EKF,308.87798534243973,9.941115290346882,win,4400.745757120476,results/adaptive_candidate_fusion_centered_fixed_soft_seed53_split53_20260623
53,53,maneuver_shift_test,adaptive_candidate_fusion_centered_fixed_soft_seed53_split53_20260623,blend:learned:EKF:0.55,blend,learned|EKF,0.55,554.1949485908373,2293,443.5115572761235,EKF,407.5192620267138,-8.832047611788786,loss,23700.831250539064,results/adaptive_candidate_fusion_centered_fixed_soft_seed53_split53_20260623
59,59,process_noise_shift_test,adaptive_candidate_fusion_centered_fixed_soft_seed59_split59_20260623,blend:learned:RFIS:0.65,blend,learned|RFIS,0.65,372.1795286694277,2988,379.5762108868053,RFIS,412.7719078197348,8.042140539134426,win,3174.1695295796385,results/adaptive_candidate_fusion_centered_fixed_soft_seed59_split59_20260623
59,59,maneuver_shift_test,adaptive_candidate_fusion_centered_fixed_soft_seed59_split59_20260623,blend:learned:EKF:0.55,blend,learned|EKF,0.55,554.1949485908373,2293,518.759073442261,EKF,529.2630673685954,1.9846451743853073,win,11945.220295235638,results/adaptive_candidate_fusion_centered_fixed_soft_seed59_split59_20260623
61,61,process_noise_shift_test,adaptive_candidate_fusion_centered_fixed_soft_seed61_split61_20260623,blend:learned:RFIS:0.65,blend,learned|RFIS,0.65,372.1795286694277,2988,351.56430387938025,RFIS,384.62872567273433,8.596451483316232,win,9946.831120030376,results/adaptive_candidate_fusion_centered_fixed_soft_seed61_split61_20260623
61,61,maneuver_shift_test,adaptive_candidate_fusion_centered_fixed_soft_seed61_split61_20260623,blend:learned:EKF:0.55,blend,learned|EKF,0.55,554.1949485908373,2293,552.0285495532992,EKF,554.2617062538278,0.40290654673262777,win,5365.531175221084,results/adaptive_candidate_fusion_centered_fixed_soft_seed61_split61_20260623
