scenario,trajectory,time_step,dt_s,station_index,station_name,pre_adapt_nis,nis_soft_gate,nis_exceeds_soft_gate,whitened_innovation_norm,robust_scale,r_scale_pre_mean,r_proposal_scale_mean,r_scale_post_mean,r_eff_scale_mean,state_update_norm,state_update_pos_norm_m,state_update_vel_norm_mps,r_scale_pre_range,r_proposal_scale_range,r_scale_post_range,r_eff_scale_range,r_scale_pre_azimuth,r_proposal_scale_azimuth,r_scale_post_azimuth,r_eff_scale_azimuth,r_scale_pre_elevation,r_proposal_scale_elevation,r_scale_post_elevation,r_eff_scale_elevation,r_scale_pre_range_rate,r_proposal_scale_range_rate,r_scale_post_range_rate,r_eff_scale_range_rate
force_model_mismatch_test,0,26,20.0,0,Alaska,2.4769892181991624,16.0,False,1.5738453603194826,1.0,1.0,0.4,0.952,0.952,2533.4164142998616,2533.4106503974954,5.404136981025632,1.0,0.4,0.952,0.952,1.0,0.4,0.9520000000000001,0.9520000000000001,1.0,0.4,0.9520000000000001,0.9520000000000001,1.0,0.4,0.9520000000000001,0.9520000000000001
force_model_mismatch_test,0,27,20.0,0,Alaska,2.186446920457355,16.0,False,1.4786638970561752,1.0,0.952,0.7909889313245017,0.9391191145059603,0.9391191145059603,688.9791312460874,688.976124836743,2.0353617756956672,0.952,0.4,0.9078399999999999,0.9078399999999999,0.9520000000000001,0.4,0.9078400000000001,0.9078400000000001,0.9520000000000001,1.9639557252980064,1.0329564580238408,1.0329564580238408,0.9520000000000001,0.4,0.90784,0.90784
force_model_mismatch_test,0,28,20.0,0,Alaska,4.010776743326635,16.0,False,2.002692373612741,1.0,0.9391191145059603,1.5565383788805147,0.9885126556559245,0.9885126556559245,412.3950869692665,412.3932820583091,1.2201104723917509,0.9078399999999999,3.421140133198499,1.1089040106558798,1.1089040106558798,0.9078400000000001,0.4,0.8672128000000001,0.8672128000000001,1.0329564580238408,2.00501338232356,1.1107210119678184,1.1107210119678184,0.90784,0.4,0.8672128,0.8672128
force_model_mismatch_test,0,29,20.0,0,Alaska,3.3088163537133353,16.0,False,1.8190152153605905,1.0,0.9885126556559245,7.8,1.5334316432034507,1.5334316432034507,196.34553749020023,196.34178428118778,1.2140171313191896,1.1089040106558798,0.4,1.0521916898034094,1.0521916898034094,0.8672128000000001,0.4,0.829835776,0.829835776,1.1107210119678184,0.4,1.053863331010393,1.053863331010393,0.8672128,30.0,3.1978357760000002,3.1978357760000002
force_model_mismatch_test,0,30,20.0,0,Alaska,0.7748719768572712,16.0,False,0.8802681278208766,1.0,1.5334316432034507,0.4,1.4427571117471747,1.4427571117471747,84.13547477955153,84.13480828791762,0.33488913971714257,1.0521916898034094,0.4,1.0000163546191367,1.0000163546191367,0.829835776,0.4,0.7954489139200001,0.7954489139200001,1.053863331010393,0.4,1.0015542645295616,1.0015542645295616,3.1978357760000002,0.4,2.9740089139200006,2.9740089139200006
force_model_mismatch_test,0,31,20.0,0,Alaska,7.125494431339175,16.0,False,2.6693621768765614,1.0,1.4427571117471747,8.703820672364182,2.023642196596535,2.023642196596535,340.0708900913813,340.06486944535135,2.023575217406062,1.0000163546191367,1.9982784097345592,1.0798773190283706,1.0798773190283706,0.7954489139200001,0.46874707878238475,0.7693127671089909,0.7693127671089909,1.0015542645295616,2.3482572009397886,1.1092904994423798,1.1092904994423798,2.9740089139200006,30.0,5.1360882008064,5.1360882008064
force_model_mismatch_test,0,32,20.0,0,Alaska,13.221992940103602,16.0,False,3.6362058440225304,1.2986449442937609,2.023642196596535,3.1666820069931365,2.1150853814282637,3.567046426142964,120.74184197628118,120.74122199305093,0.3869308078329893,1.0798773190283706,0.6870106779985647,1.048447987745986,1.76818519031164,0.7693127671089909,11.17971734997398,1.60214513373819,2.7019836284831236,1.1092904994423798,0.4,1.0525472594869896,1.7750985247528535,5.1360882008064,0.4,4.757201144741888,8.022918361024239
force_model_mismatch_test,0,33,20.0,0,Alaska,7.571777776575143,16.0,False,2.7516863514170984,1.0,2.1150853814282637,7.944217992450074,2.5814159903100085,2.5814159903100085,112.13260209579673,112.12726593608471,1.0939316582009622,1.048447987745986,0.4,0.9965721487263072,0.9965721487263072,1.60214513373819,0.9768719698002988,1.5521232806231589,1.5521232806231589,1.0525472594869896,0.4,1.0003434787280305,1.0003434787280305,4.757201144741888,30.0,6.776625053162538,6.776625053162538
force_model_mismatch_test,0,34,20.0,0,Alaska,1.8815120536507255,16.0,False,1.3716821984886753,1.0,2.5814159903100085,0.7672919208046876,2.436286064749583,2.436286064749583,181.2120452207213,181.20806870004958,1.2004878486874786,0.9965721487263072,0.4,0.9488463768282025,0.9488463768282025,1.5521232806231589,0.4,1.4599534181733063,1.4599534181733063,1.0003434787280305,0.6492411426455009,0.9722552918414281,0.9722552918414281,6.776625053162538,1.619926540573249,6.364089172155395,6.364089172155395
force_model_mismatch_test,0,35,20.0,0,Alaska,1.6611119715103142,16.0,False,1.2888413290666598,1.0,2.436286064749583,0.4432317662196176,2.2768417208671856,2.2768417208671856,139.33743722669436,139.33587617321592,0.6595634504953505,0.9488463768282025,0.4,0.9049386666819463,0.9049386666819463,1.4599534181733063,0.4,1.3751571447194417,1.3751571447194417,0.9722552918414281,0.5729270648784702,0.9403090336843916,0.9403090336843916,6.364089172155395,0.4,5.886962038382964,5.886962038382964
