method,scenario,comparison,baseline,n_seeds,n_seed_trajectory_pairs,mean_gain_m,two_level_bootstrap_ci_low_m,two_level_bootstrap_ci_high_m,pooled_wilcoxon_stat,pooled_wilcoxon_p,pooled_win_rate_percent,seed_win_rate_percent,seed_mean_gain_min_m,seed_mean_gain_mean_m,seed_mean_gain_max_m,bootstrap_type,wilcoxon_backend,wilcoxon_note
RGR-GF,stress_test,vs UKF,UKF,15,960,771.9440802948831,598.3194669755032,968.895994602967,355836.0,2.2058020991616497e-48,68.125,100.0,609.410179469557,771.9440802948831,892.3924849000448,two_level_resample_seeds_then_trajectories,scipy.stats.wilcoxon,pooled seed-trajectory diagnostic; repeated trajectory identities across seeds are not independent held-out samples
RGR-GF,stress_test,vs AUKF,AUKF,15,960,-100.08921058465363,-148.99356482219326,-53.561870706695935,180653.0,0.9999999970049757,42.8125,6.666666666666667,-262.62311140997974,-100.08921058465361,20.359194020508102,two_level_resample_seeds_then_trajectories,scipy.stats.wilcoxon,pooled seed-trajectory diagnostic; repeated trajectory identities across seeds are not independent held-out samples
