method,scenario,comparison,baseline,metric,n_seeds,candidate_observed_pos_rmse_mean_m,candidate_observed_pos_rmse_min_m,candidate_observed_pos_rmse_max_m,baseline_observed_pos_rmse_m,observed_steps,mean_observed_step_gain_m,seed_bootstrap_ci_low_m,seed_bootstrap_ci_high_m,seed_wins,seed_win_rate_percent,mean_percent_improvement,diagnostic_wilcoxon_p,wilcoxon_backend,observed_step_definition,wilcoxon_note
RGR-GF,test,vs UKF,UKF,observed_step_pos_rmse_m,15,465.7684281363125,379.2114128332429,700.8791559038011,387.4404824696617,1454,-78.32794566665079,-135.89760698983298,-27.022198324448702,7,46.666666666666664,-20.21676856464895,0.946502685546875,scipy.stats.wilcoxon[exact],evaluated steps from window start onward with >=1 visible station; same convention as the main evaluator,"seed-level observed-step aggregate diagnostic; with a small repeated-training-seed sample this signed-rank p is sign-test-like and is direction evidence only, not a headline significance claim"
RGR-GF,test,vs AUKF,AUKF,observed_step_pos_rmse_m,15,465.7684281363125,379.2114128332429,700.8791559038011,392.69448482147465,1454,-73.07394331483782,-130.75876204675237,-23.761824518533814,7,46.666666666666664,-18.608344690162486,0.924285888671875,scipy.stats.wilcoxon[exact],evaluated steps from window start onward with >=1 visible station; same convention as the main evaluator,"seed-level observed-step aggregate diagnostic; with a small repeated-training-seed sample this signed-rank p is sign-test-like and is direction evidence only, not a headline significance claim"
RGR-GF,stress_test,vs UKF,UKF,observed_step_pos_rmse_m,15,1114.397269044864,948.947090444993,1314.9498836751466,1882.719629563295,1432,768.3223605184307,714.8460835546729,821.0432317951778,15,100.0,40.809175644312305,3.0517578125e-05,scipy.stats.wilcoxon[exact],evaluated steps from window start onward with >=1 visible station; same convention as the main evaluator,"seed-level observed-step aggregate diagnostic; with a small repeated-training-seed sample this signed-rank p is sign-test-like and is direction evidence only, not a headline significance claim"
RGR-GF,stress_test,vs AUKF,AUKF,observed_step_pos_rmse_m,15,1114.397269044864,948.947090444993,1314.9498836751466,915.2125245573543,1432,-199.18474448750985,-253.0122538819029,-147.60248899297244,0,0.0,-21.763769522695974,1.0,scipy.stats.wilcoxon[exact],evaluated steps from window start onward with >=1 visible station; same convention as the main evaluator,"seed-level observed-step aggregate diagnostic; with a small repeated-training-seed sample this signed-rank p is sign-test-like and is direction evidence only, not a headline significance claim"
