scenario,scenario_index,realization_index,data_seed,initialization_seed,filter_seed,trajectories,time_steps,observed_step_count,zero_visible_step_count,visible_update_count,ekf_pos_rmse_m,ukf_pos_rmse_m,aukf_pos_rmse_m,best_nonadaptive_method,best_nonadaptive_pos_rmse_m,aukf_minus_ukf_m,aukf_vs_ukf_percent,aukf_minus_best_nonadaptive_m,aukf_vs_best_nonadaptive_percent,median_pre_update_r_only_nis_ukf,median_pre_update_r_only_nis_aukf,rho_pre_update_r_only_nis_aukf_vs_ukf,ukf_pre_update_r_only_nis_finite_count,aukf_pre_update_r_only_nis_finite_count,ukf_pre_update_r_only_nis_nonfinite_count,aukf_pre_update_r_only_nis_nonfinite_count,aukf_worse_than_ukf,aukf_worse_than_best_nonadaptive,finite_for_thresholds,divergent,exclusion_reason
process_noise_shift_test,3,7,391707,391724,391744,12,120,315,993,346,370.83518748348484,396.2758854976948,549.8368988593732,EKF,370.83518748348484,153.56101336167836,38.75103658372158,179.0017113758883,48.26988306870425,15.08932138091369,19.378432611928563,1.2842481197623719,346,346,0,0,true,true,true,false,
maneuver_shift_test,4,0,491000,491017,491037,12,120,318,990,319,410.28279664262067,504.5166469085372,488.70695353253655,EKF,410.28279664262067,-15.809693376000666,-3.1336316597035445,78.42415688991588,19.114658847913557,31.245065151276417,39.23030651928313,1.2555680818505353,319,319,0,0,false,true,true,false,
maneuver_shift_test,4,1,491101,491118,491138,12,120,393,915,402,466.6671263839499,538.9036178336355,516.4819675500021,EKF,466.6671263839499,-22.421650283633426,-4.160604891421455,49.81484116605219,10.674598305659757,33.425725906791094,43.21482265380655,1.2928611565329269,402,402,0,0,false,true,true,false,
maneuver_shift_test,4,2,491202,491219,491239,12,120,300,1008,300,557.9075505571435,640.592455774948,711.5386609784348,EKF,557.9075505571435,70.94620520348678,11.07509221563663,153.63111042129128,27.537019398262412,41.91567658845423,47.10996270250647,1.1239222776970041,300,300,0,0,true,true,true,false,
maneuver_shift_test,4,3,491303,491320,491340,12,120,315,993,315,641.443940244915,934.7872960185053,680.2599726941019,EKF,641.443940244915,-254.52732332440348,-27.228367823193523,38.81603244918688,6.051352271621151,37.33615528148933,43.96685788720009,1.1775946815016103,315,315,0,0,false,true,true,false,
maneuver_shift_test,4,4,491404,491421,491441,12,120,308,1000,320,603.2837662804468,532.5051021588863,840.1176914696724,UKF,532.5051021588863,307.6125893107861,57.76706890951107,307.6125893107861,57.76706890951107,32.86970577445926,36.70008653974163,1.1165322498340917,320,320,0,0,true,true,true,false,
maneuver_shift_test,4,5,491505,491522,491542,12,120,332,976,333,550.0691639728365,574.5161304090803,625.3687864649247,EKF,550.0691639728365,50.85265605584436,8.851388736402416,75.29962249208825,13.6891190097336,28.955280442215866,31.156358989671972,1.076016481755328,333,333,0,0,true,true,true,false,
maneuver_shift_test,4,6,491606,491623,491643,12,120,279,1029,279,570.4789139857779,513.2185002591065,508.4576119837318,UKF,513.2185002591065,-4.760888275374668,-0.9276532847064278,-4.760888275374668,-0.9276532847064278,37.483515405298775,44.654347027083254,1.1913062727507888,279,279,0,0,false,false,true,false,
maneuver_shift_test,4,7,491707,491724,491744,12,120,232,1076,234,436.2712664501276,424.63319927782766,504.1849478939977,UKF,424.63319927782766,79.55174861617002,18.734227269903396,79.55174861617002,18.734227269903396,30.671889366645022,29.70471658942286,0.9684671274840362,234,234,0,0,true,true,true,false,
low_inclination_test,5,0,591000,591017,591037,12,120,259,1049,270,336.92320045030476,359.6084906612231,322.53224473679853,EKF,336.92320045030476,-37.07624592442454,-10.310169778319562,-14.39095571350623,-4.271286659473858,5.921792679627799,5.559448836764513,0.9388117986450583,270,270,0,0,false,false,true,false,
low_inclination_test,5,1,591101,591118,591138,12,120,254,1054,254,393.0692025685865,405.6839398237908,374.11537211274776,EKF,393.0692025685865,-31.568567711043045,-7.78156703091448,-18.953830455838727,-4.822008524702843,6.261328786035829,6.048777424128093,0.9660533140534364,254,254,0,0,false,false,true,false,
low_inclination_test,5,2,591202,591219,591239,12,120,259,1049,259,372.6463553742629,376.1257952429176,385.24605239272205,EKF,372.6463553742629,9.120257149804445,2.4247890639657417,12.599697018459153,3.381140546995233,5.960641602098128,5.814305424347272,0.975449592926482,259,259,0,0,true,true,true,false,
