cell,cell_index,scenario,scenario_index,realization_index,data_seed,initialization_seed,filter_seed,trajectories,time_steps,dt_s,eval_start_step,epoch_unix,observed_step_count,zero_visible_step_count,visible_update_count,ekf_pos_rmse_m,ukf_pos_rmse_m,aukf_pos_rmse_m,best_nonadaptive_method,best_nonadaptive_pos_rmse_m,aukf_minus_ukf_m,aukf_vs_ukf_percent,aukf_minus_best_nonadaptive_m,aukf_vs_best_nonadaptive_percent,median_pre_update_r_only_nis_ukf,median_pre_update_r_only_nis_aukf,rho_pre_update_r_only_nis_aukf_vs_ukf,ukf_pre_update_r_only_nis_finite_count,aukf_pre_update_r_only_nis_finite_count,ukf_pre_update_r_only_nis_nonfinite_count,aukf_pre_update_r_only_nis_nonfinite_count,aukf_worse_than_ukf,aukf_worse_than_best_nonadaptive,finite_for_thresholds,divergent,exclusion_reason,truth_generation_seconds,filter_seconds
hifi_base,0,hifi_base,0,0,2026061601,2026061618,2026061638,2,120,20.0,11,1736640000.0,52,166,52,464.31571020382415,399.7402244805106,423.12683664273015,UKF,399.7402244805106,23.386612162219535,5.850452551431874,23.386612162219535,5.850452551431874,6.617496521811155,5.991566256250156,0.9054128304415509,52,52,0,0,true,true,true,false,,46.10040039999876,6.055699899996398
hifi_extended,1,hifi_extended,1,0,2026161601,2026161618,2026161638,2,120,20.0,11,1736640000.0,29,189,29,211.66582386578963,279.6804489562965,285.7499353727953,EKF,211.66582386578963,6.069486416498762,2.170150412425573,74.08411150700564,35.000507003898726,5.27681551362014,5.164036961686023,0.9786275355575684,29,29,0,0,true,true,true,false,,0.4025907999894116,5.567267199978232
