tier,source_name,scenario,trajectory_row,trajectory_index,seed,split,source_is_extra,tier_flags,observed_steps,attention_selected_observed_step_rmse_m,local_selected_observed_step_rmse_m,mean_selected_observed_step_rmse_m,best_single_trajectory_observed_step_rmse_m,local_minus_attention_rmse_m,local_minus_mean_rmse_m,attention_selected_candidate_method,attention_selected_probability,local_selected_candidate_method,local_selected_probability,mean_selected_candidate_method,mean_selected_probability,best_single_candidate_method
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_obsckpt_seed157_split157_20260625,maneuver_shift_test,4,44,157,157,True,fresh_extra;all_eval_non_development,30,326.4688241516085,344.16873642771895,357.264886504445,375.8226626762177,17.699912276110467,-13.096150076726019,EKF,0.9971653819084167,EKF,0.5012423396110535,EKF,0.9904544353485107,RFIS
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_obsckpt_seed157_split157_20260625,maneuver_shift_test,5,38,157,157,True,fresh_extra;all_eval_non_development,19,253.1723759545954,290.5145221080103,241.26560439396357,397.93439685777037,37.34214615341489,49.24891771404671,BatchWLS,0.9995020031929016,BatchWLS,0.5398560166358948,BatchWLS,0.9994863867759705,RFIS
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_obsckpt_seed157_split157_20260625,process_noise_shift_test,0,21,157,157,True,fresh_extra;all_eval_non_development,13,230.03883183093518,4283.203154689501,227.5774066006328,196.85152518003525,4053.1643228585663,4055.6257480888685,RFIS,0.8227241039276123,BatchWLS,0.5339837670326233,RFIS,0.9992472529411316,UKF
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_obsckpt_seed157_split157_20260625,process_noise_shift_test,1,1,157,157,True,fresh_extra;all_eval_non_development,64,308.8880182973343,283.16215693738076,313.2420708827296,314.21376349192894,-25.72586135995357,-30.079913945348835,UKF,0.9998663067817688,UKF,0.8089764714241028,UKF,0.9992766380310059,UKF
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_obsckpt_seed157_split157_20260625,process_noise_shift_test,2,11,157,157,True,fresh_extra;all_eval_non_development,33,358.3144769329119,437.75326037541174,362.91312434453573,420.95994692008924,79.43878344249987,74.84013603087601,RFIS,0.9987547397613525,RFIS,0.6345421671867371,RFIS,0.9982940554618835,UKF
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_obsckpt_seed157_split157_20260625,process_noise_shift_test,3,23,157,157,True,fresh_extra;all_eval_non_development,29,327.96388812345475,333.4335860601677,323.8797561586725,350.77732189571543,5.469697936712976,9.553829901495249,RFIS,0.9996647238731384,RFIS,0.5975331664085388,RFIS,0.9986318945884705,UKF
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_obsckpt_seed157_split157_20260625,process_noise_shift_test,5,34,157,157,True,fresh_extra;all_eval_non_development,26,318.74247680731963,348.7888850411359,318.9456768925933,331.60635556975313,30.046408233816294,29.8432081485426,UKF,0.9999585151672363,RFIS,0.646162211894989,UKF,0.9951980710029602,UKF
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_obsckpt_seed157_split157_20260625,process_noise_shift_test,6,3,157,157,True,fresh_extra;all_eval_non_development,47,184.44336338340239,201.43548466291952,181.9105040010105,254.00372663978533,16.992121279517136,19.524980661909012,RFIS,0.9953098893165588,RFIS,0.5038426518440247,RFIS,0.9655704498291016,UKF
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_obsckpt_seed163_split163_20260625,maneuver_shift_test,0,22,163,163,True,fresh_extra;all_eval_non_development,34,400.9989370274602,415.5131595667707,396.18002292136254,449.37718232512526,14.514222539310481,19.33313664540816,RFIS,0.9999105334281921,EKF,0.4509623348712921,RFIS,0.9996393322944641,EKF
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_obsckpt_seed163_split163_20260625,maneuver_shift_test,1,36,163,163,True,fresh_extra;all_eval_non_development,24,316.1259863784037,272.5664941437687,308.75052679796465,369.35383769858817,-43.559492234635,-36.18403265419596,BatchWLS,0.9990022778511047,BatchWLS,0.8927794098854065,BatchWLS,0.9960112571716309,EKF
